position_group,calibration_bin,n,predicted_mean,actual_mean,residual_mean,heuristic_version,model_version
DB,"(1.7530000000000001, 3.069]",14,2.9825626883169387,2.9470071337365598,-0.03555555458037864,v1.0.0,v1.0.0
DB,"(3.069, 3.202]",60,3.1527182943034195,2.963890038727235,-0.1888282555761848,v1.0.0,v1.0.0
DB,"(3.202, 3.286]",87,3.248493486273704,3.1166878240135816,-0.13180566226012214,v1.0.0,v1.0.0
DB,"(3.286, 3.358]",88,3.325523464292142,3.490946354156984,0.1654228898648422,v1.0.0,v1.0.0
DB,"(3.358, 3.419]",104,3.3894070848168036,3.4725197128017435,0.08311262798493985,v1.0.0,v1.0.0
DB,"(3.419, 3.474]",120,3.4449719447499283,3.581661123200765,0.13668917845083695,v1.0.0,v1.0.0
DB,"(3.474, 3.533]",106,3.500173445456468,3.469608805908274,-0.03056463954819454,v1.0.0,v1.0.0
DB,"(3.533, 3.605]",127,3.5725668733169553,3.552263865455038,-0.020303007861917643,v1.0.0,v1.0.0
DB,"(3.605, 3.71]",145,3.6545116715188732,3.6194732555830336,-0.03503841593583975,v1.0.0,v1.0.0
DB,"(3.71, 4.57]",98,3.796541083350059,3.741335377063884,-0.055205706286174765,v1.0.0,v1.0.0
EDGE,"(1.7530000000000001, 3.069]",30,2.9568177782996083,3.1845145542370203,0.22769677593741217,v1.0.0,v1.0.0
EDGE,"(3.069, 3.202]",54,3.1301009282795786,3.225248224395205,0.0951472961156263,v1.0.0,v1.0.0
EDGE,"(3.202, 3.286]",32,3.2554291580288903,3.206852182455729,-0.048576975573161665,v1.0.0,v1.0.0
EDGE,"(3.286, 3.358]",55,3.320068995393784,3.3109348192878394,-0.00913417610594463,v1.0.0,v1.0.0
EDGE,"(3.358, 3.419]",41,3.3892744258322494,3.280125151090498,-0.1091492747417511,v1.0.0,v1.0.0
EDGE,"(3.419, 3.474]",51,3.4472939402488123,3.2434189203604102,-0.20387501988840234,v1.0.0,v1.0.0
EDGE,"(3.474, 3.533]",70,3.5051148364407525,3.386663819251401,-0.11845101718935146,v1.0.0,v1.0.0
EDGE,"(3.533, 3.605]",78,3.567688745056298,3.470796663296683,-0.09689208175961521,v1.0.0,v1.0.0
EDGE,"(3.605, 3.71]",119,3.6541755297594833,3.7065416236930484,0.05236609393356474,v1.0.0,v1.0.0
EDGE,"(3.71, 4.57]",181,3.8262763327017333,3.9068195388726235,0.0805432061708903,v1.0.0,v1.0.0
IDL,"(1.7530000000000001, 3.069]",35,2.903362209812365,2.8851459556893726,-0.018216254122992385,v1.0.0,v1.0.0
IDL,"(3.069, 3.202]",26,3.1377025973006596,3.04578699221642,-0.09191560508424007,v1.0.0,v1.0.0
IDL,"(3.202, 3.286]",25,3.255939597630946,3.116292192759482,-0.13964740487146415,v1.0.0,v1.0.0
IDL,"(3.286, 3.358]",35,3.327334463756049,3.3987833951572686,0.07144893140121919,v1.0.0,v1.0.0
IDL,"(3.358, 3.419]",70,3.3896239686332885,3.4505356633510185,0.06091169471773034,v1.0.0,v1.0.0
IDL,"(3.419, 3.474]",50,3.4452347361910127,3.4754533475272744,0.030218611336261945,v1.0.0,v1.0.0
IDL,"(3.474, 3.533]",60,3.5058497489654594,3.5286864650447236,0.02283671607926436,v1.0.0,v1.0.0
IDL,"(3.533, 3.605]",52,3.5677253785384746,3.4983735349250837,-0.06935184361339083,v1.0.0,v1.0.0
IDL,"(3.605, 3.71]",56,3.6628035144278193,3.7116782286418473,0.04887471421402752,v1.0.0,v1.0.0
IDL,"(3.71, 4.57]",50,3.8161847821125123,3.7710289192992326,-0.04515586281327951,v1.0.0,v1.0.0
LB,"(1.7530000000000001, 3.069]",5,3.0411335206360057,3.0825864387352224,0.041452918099216876,v1.0.0,v1.0.0
LB,"(3.069, 3.202]",34,3.1482783702052552,3.1404990164296556,-0.0077793537755997495,v1.0.0,v1.0.0
LB,"(3.202, 3.286]",39,3.248400204010056,3.096418606386452,-0.15198159762360416,v1.0.0,v1.0.0
LB,"(3.286, 3.358]",27,3.326772876725252,3.574329281429201,0.24755640470394902,v1.0.0,v1.0.0
LB,"(3.358, 3.419]",34,3.389835350887868,3.5503893285862977,0.16055397769843036,v1.0.0,v1.0.0
LB,"(3.419, 3.474]",38,3.451090897754973,3.350333995736952,-0.10075690201802069,v1.0.0,v1.0.0
LB,"(3.474, 3.533]",31,3.5046771837184725,3.364174197411023,-0.14050298630744962,v1.0.0,v1.0.0
LB,"(3.533, 3.605]",29,3.5662983112263067,3.653412937970401,0.087114626744094,v1.0.0,v1.0.0
LB,"(3.605, 3.71]",27,3.6548694055881223,3.6732366273254193,0.018367221737296918,v1.0.0,v1.0.0
LB,"(3.71, 4.57]",29,3.8027310795211218,3.768378433527022,-0.03435264599409966,v1.0.0,v1.0.0
OL,"(1.7530000000000001, 3.069]",67,2.948848527300922,2.930738665114639,-0.018109862186282584,v1.0.0,v1.0.0
OL,"(3.069, 3.202]",64,3.133817750795181,3.1573256532912732,0.023507902496091904,v1.0.0,v1.0.0
OL,"(3.202, 3.286]",75,3.2445857442783157,3.254771783645229,0.010186039366913573,v1.0.0,v1.0.0
OL,"(3.286, 3.358]",71,3.3269437684719674,3.3188344982483384,-0.008109270223628838,v1.0.0,v1.0.0
OL,"(3.358, 3.419]",41,3.3885738772420493,3.3634102659456024,-0.025163611296446745,v1.0.0,v1.0.0
OL,"(3.419, 3.474]",42,3.4471325268998045,3.363929585088177,-0.08320294181162753,v1.0.0,v1.0.0
OL,"(3.474, 3.533]",37,3.5014029471968175,3.4930680549499793,-0.008334892246838243,v1.0.0,v1.0.0
OL,"(3.533, 3.605]",33,3.566898586271356,3.552865458737586,-0.014033127533769877,v1.0.0,v1.0.0
OL,"(3.605, 3.71]",31,3.652472879086168,3.7980056869185472,0.14553280783237932,v1.0.0,v1.0.0
OL,"(3.71, 4.57]",11,3.752821398734829,3.780717674941752,0.027896276206922345,v1.0.0,v1.0.0
OTHER,"(1.7530000000000001, 3.069]",56,2.662894148439818,2.6781900914763526,0.015295943036534683,v1.0.0,v1.0.0
OTHER,"(3.069, 3.202]",14,3.1248183108079286,3.18488966066264,0.06007134985471103,v1.0.0,v1.0.0
OTHER,"(3.202, 3.286]",3,3.249381538619927,2.7862499992961243,-0.4631315393238025,v1.0.0,v1.0.0
OTHER,"(3.286, 3.358]",3,3.3221050655154882,3.158385233715198,-0.16371983180028993,v1.0.0,v1.0.0
OTHER,"(3.358, 3.419]",1,3.3900204530393747,3.173159346567495,-0.2168611064718795,v1.0.0,v1.0.0
OTHER,"(3.419, 3.474]",0,,,,v1.0.0,v1.0.0
OTHER,"(3.474, 3.533]",1,3.516228700433925,3.6942882594600555,0.17805955902613047,v1.0.0,v1.0.0
OTHER,"(3.533, 3.605]",1,3.5982046074762257,3.819988560282025,0.22178395280579943,v1.0.0,v1.0.0
OTHER,"(3.605, 3.71]",0,,,,v1.0.0,v1.0.0
OTHER,"(3.71, 4.57]",0,,,,v1.0.0,v1.0.0
QB,"(1.7530000000000001, 3.069]",150,2.673813318774371,2.63447451014712,-0.03933880862725067,v1.0.0,v1.0.0
QB,"(3.069, 3.202]",33,3.1334761280088954,3.3094823054335167,0.1760061774246211,v1.0.0,v1.0.0
QB,"(3.202, 3.286]",22,3.24042163586884,3.310364691819004,0.06994305595016434,v1.0.0,v1.0.0
QB,"(3.286, 3.358]",9,3.3094754412458003,3.3949286969970993,0.08545325575129853,v1.0.0,v1.0.0
QB,"(3.358, 3.419]",3,3.3883936407578528,2.4398360486375714,-0.9485575921202818,v1.0.0,v1.0.0
QB,"(3.419, 3.474]",4,3.442162598271267,3.2620643426762066,-0.18009825559506032,v1.0.0,v1.0.0
QB,"(3.474, 3.533]",3,3.49961014203541,4.0365972422909895,0.5369871002555794,v1.0.0,v1.0.0
QB,"(3.533, 3.605]",1,3.543836475329523,2.8112821446849234,-0.7325543306445996,v1.0.0,v1.0.0
QB,"(3.605, 3.71]",1,3.6358020153640704,2.722867041838046,-0.9129349735260246,v1.0.0,v1.0.0
QB,"(3.71, 4.57]",2,3.749220075593508,4.441912429871847,0.6926923542783388,v1.0.0,v1.0.0
RB,"(1.7530000000000001, 3.069]",44,2.7848078243664616,2.7265824053078784,-0.05822541905858333,v1.0.0,v1.0.0
RB,"(3.069, 3.202]",47,3.1509385246609245,3.135913738982291,-0.01502478567863362,v1.0.0,v1.0.0
RB,"(3.202, 3.286]",65,3.2474273065060966,3.317461518984653,0.07003421247855666,v1.0.0,v1.0.0
RB,"(3.286, 3.358]",59,3.3216715285574643,3.314060304285699,-0.0076112242717651405,v1.0.0,v1.0.0
RB,"(3.358, 3.419]",64,3.3891021784832027,3.2213413039091083,-0.1677608745740946,v1.0.0,v1.0.0
RB,"(3.419, 3.474]",46,3.4480502116735674,3.35232398511527,-0.09572622655829824,v1.0.0,v1.0.0
RB,"(3.474, 3.533]",52,3.502007376836812,3.564602333761308,0.0625949569244968,v1.0.0,v1.0.0
RB,"(3.533, 3.605]",46,3.5666857866176938,3.69400178254886,0.12731599593116616,v1.0.0,v1.0.0
RB,"(3.605, 3.71]",29,3.651578676583442,3.9261741779072876,0.2745955013238456,v1.0.0,v1.0.0
RB,"(3.71, 4.57]",10,3.777965456546118,3.5009935634989033,-0.2769718930472145,v1.0.0,v1.0.0
ST,"(1.7530000000000001, 3.069]",3,2.765509382967995,1.8764560721060846,-0.8890533108619101,v1.0.0,v1.0.0
ST,"(3.069, 3.202]",2,3.1002942772200743,2.6244358001496106,-0.47585847707046347,v1.0.0,v1.0.0
ST,"(3.202, 3.286]",6,3.2323190364216514,3.697973564834063,0.4656545284124112,v1.0.0,v1.0.0
ST,"(3.286, 3.358]",4,3.322551356455107,2.901728799272905,-0.4208225571822021,v1.0.0,v1.0.0
ST,"(3.358, 3.419]",3,3.371248493234211,3.0038078289632835,-0.36744066427092736,v1.0.0,v1.0.0
ST,"(3.419, 3.474]",4,3.4411439616364308,4.418732249555799,0.9775882879193676,v1.0.0,v1.0.0
ST,"(3.474, 3.533]",8,3.5036814139332852,4.04351936854379,0.5398379546105048,v1.0.0,v1.0.0
ST,"(3.533, 3.605]",7,3.567852069049803,2.9847584668588825,-0.5830936021909209,v1.0.0,v1.0.0
ST,"(3.605, 3.71]",15,3.669168107050601,3.9204907001309053,0.2513225930803047,v1.0.0,v1.0.0
ST,"(3.71, 4.57]",28,3.9473598783285047,3.7935499307701965,-0.15380994755830812,v1.0.0,v1.0.0
TE,"(1.7530000000000001, 3.069]",7,3.013096007981258,2.7679243223678758,-0.24517168561338193,v1.0.0,v1.0.0
TE,"(3.069, 3.202]",19,3.1365920631682447,3.2006366454241024,0.06404458225585814,v1.0.0,v1.0.0
TE,"(3.202, 3.286]",22,3.257146443250441,3.174242378703085,-0.08290406454735585,v1.0.0,v1.0.0
TE,"(3.286, 3.358]",19,3.327614507914484,3.317123610520259,-0.01049089739422531,v1.0.0,v1.0.0
TE,"(3.358, 3.419]",19,3.3854362477348325,3.660749000194434,0.2753127524596013,v1.0.0,v1.0.0
TE,"(3.419, 3.474]",32,3.451328083987909,3.394579510791726,-0.05674857319618308,v1.0.0,v1.0.0
TE,"(3.474, 3.533]",29,3.496516577029673,3.441517578175289,-0.05499899885438443,v1.0.0,v1.0.0
TE,"(3.533, 3.605]",55,3.571778321442214,3.529486964069192,-0.042291357373021955,v1.0.0,v1.0.0
TE,"(3.605, 3.71]",31,3.651222404225688,3.7966067536134482,0.1453843493877604,v1.0.0,v1.0.0
TE,"(3.71, 4.57]",51,3.8315283070384614,3.8025413275048043,-0.028986979533656945,v1.0.0,v1.0.0
WR,"(1.7530000000000001, 3.069]",55,2.9753992686459747,2.987424148560508,0.01202487991453344,v1.0.0,v1.0.0
WR,"(3.069, 3.202]",113,3.142331279543985,3.0630209826995665,-0.07931029684441808,v1.0.0,v1.0.0
WR,"(3.202, 3.286]",90,3.243046538472079,3.427009830902852,0.18396329243077317,v1.0.0,v1.0.0
WR,"(3.286, 3.358]",96,3.32529984577795,3.350556521683362,0.02525667590541164,v1.0.0,v1.0.0
WR,"(3.358, 3.419]",86,3.391892001533816,3.279991176243419,-0.11190082529039724,v1.0.0,v1.0.0
WR,"(3.419, 3.474]",78,3.445653751745552,3.4123319625114608,-0.03332178923409092,v1.0.0,v1.0.0
WR,"(3.474, 3.533]",69,3.501605006747277,3.5406023178639896,0.03899731111671248,v1.0.0,v1.0.0
WR,"(3.533, 3.605]",37,3.5643199629271294,3.5706329989557446,0.006313036028614952,v1.0.0,v1.0.0
WR,"(3.605, 3.71]",12,3.645569724081247,3.5323956765762206,-0.11317404750502606,v1.0.0,v1.0.0
WR,"(3.71, 4.57]",6,3.790031631289066,3.7859683392243983,-0.004063292064667416,v1.0.0,v1.0.0
