position_group,n,mae,rmse,baseline_mae,baseline_rmse,heuristic_version,model_version
DB,949.0,0.5933871905200384,0.7748637730344357,0.6107706674143346,0.7805663247937618,v1.0.0,v1.0.0
EDGE,711.0,0.6550682898717217,0.8442177218235076,0.6901986722942778,0.8655632140739346,v1.0.0,v1.0.0
IDL,459.0,0.6518623678889315,0.8034510162186166,0.6648066541640624,0.8119470778748664,v1.0.0,v1.0.0
LB,293.0,0.5243392152598503,0.6735829416396159,0.5419810546750045,0.6899291858259868,v1.0.0,v1.0.0
OL,472.0,0.47991708036844344,0.6039818008307676,0.4889655847735877,0.6291198566543023,v1.0.0,v1.0.0
OTHER,79.0,0.43428235390733577,0.5249615264728485,0.5670808963866831,0.7691931505327747,v1.0.0,v1.0.0
QB,228.0,0.9167495142552694,1.1049599822137033,0.9822027797405777,1.2122194492265814,v1.0.0,v1.0.0
RB,462.0,0.6313285818792947,0.799490372304311,0.6404560614161199,0.8217464018278706,v1.0.0,v1.0.0
ST,80.0,0.7112898361166262,0.9123637242216297,0.8196033377920996,1.016516187824353,v1.0.0,v1.0.0
TE,284.0,0.6143002616643004,0.777962460917803,0.6362065304954262,0.7966835481548012,v1.0.0,v1.0.0
WR,642.0,0.6729232961936634,0.8368318120919341,0.6799830321871099,0.8482316383138451,v1.0.0,v1.0.0
