position_group,feature,estimate,ci_lower,ci_upper,sample_size,training_window,heuristic_version,model_version
POOLED,intercept,3.499823680742627,3.4635291528701666,3.5289341460675736,4659,min-max,v1.0.0,v1.0.0
POOLED,40yd_z,0.0672345147574347,0.04026144678576684,0.09448553379864381,4659,min-max,v1.0.0,v1.0.0
POOLED,Vertical_z,0.03392944942375174,0.0033634893609635124,0.06650339145500088,4659,min-max,v1.0.0,v1.0.0
POOLED,Bench_z,0.02207777877624669,-0.003804351137324644,0.048009807618915205,4659,min-max,v1.0.0,v1.0.0
POOLED,Broad Jump_z,-0.021941086026521932,-0.05514656617947731,0.0079238188871309,4659,min-max,v1.0.0,v1.0.0
POOLED,3Cone_z,0.04708266576146879,0.017241697150361193,0.0805770754404483,4659,min-max,v1.0.0,v1.0.0
POOLED,Shuttle_z,0.04615635251790683,0.021938879046870866,0.07678974849191209,4659,min-max,v1.0.0,v1.0.0
POOLED,Ht_z,0.0003545211602359515,-0.029466102777131888,0.029602756756534145,4659,min-max,v1.0.0,v1.0.0
POOLED,Wt_z,0.08903745139895748,0.05517510691419972,0.11897485460314662,4659,min-max,v1.0.0,v1.0.0
POOLED,40yd_missing,-0.32823613778034,-0.41153854514434923,-0.22840527322393578,4659,min-max,v1.0.0,v1.0.0
POOLED,Vertical_missing,0.22858241198089593,0.11157347003694133,0.34195583463350554,4659,min-max,v1.0.0,v1.0.0
POOLED,Bench_missing,-0.17129661364174195,-0.22428398782668618,-0.11805202943361807,4659,min-max,v1.0.0,v1.0.0
POOLED,Broad Jump_missing,-0.0030416201283661073,-0.13250336491296344,0.1203212322392995,4659,min-max,v1.0.0,v1.0.0
POOLED,3Cone_missing,-0.10113981277938418,-0.1943032985906696,0.020724384274049934,4659,min-max,v1.0.0,v1.0.0
POOLED,Shuttle_missing,-0.0640366865284653,-0.16288627749173387,0.028324941578047783,4659,min-max,v1.0.0,v1.0.0
POOLED,Ht_missing,0.0365190660694195,-0.2540829558465842,0.23366205684825364,4659,min-max,v1.0.0,v1.0.0
POOLED,Wt_missing,-0.27991633849743025,-0.5927462326347949,0.024918212100882665,4659,min-max,v1.0.0,v1.0.0
DB,intercept,3.563315554153745,3.5070522059219593,3.621811645019333,949,min-max,v1.0.0,v1.0.0
DB,40yd_z,0.037975531496741974,-0.019557578112142184,0.09191064724388802,949,min-max,v1.0.0,v1.0.0
DB,Vertical_z,0.031542634942411066,-0.02629681706029136,0.09755718404871576,949,min-max,v1.0.0,v1.0.0
DB,Bench_z,0.008433938766389107,-0.0472412662689431,0.061099071859266045,949,min-max,v1.0.0,v1.0.0
DB,Broad Jump_z,-0.0008553450755566103,-0.059422128139725174,0.0635226551667809,949,min-max,v1.0.0,v1.0.0
DB,3Cone_z,0.0630701834688715,0.003070136211107405,0.11910636848108504,949,min-max,v1.0.0,v1.0.0
DB,Shuttle_z,0.06562325817435344,0.012015027804216613,0.11530416006148721,949,min-max,v1.0.0,v1.0.0
DB,Ht_z,-0.03259485221279704,-0.09025518891546773,0.02853026951877466,949,min-max,v1.0.0,v1.0.0
DB,Wt_z,0.0863401278398134,0.02623157635062866,0.1544951907882699,949,min-max,v1.0.0,v1.0.0
DB,40yd_missing,-0.18859895839503998,-0.4116173007692464,0.01568154146288139,949,min-max,v1.0.0,v1.0.0
DB,Vertical_missing,0.10352949997304917,-0.19535535888415487,0.32657450331796395,949,min-max,v1.0.0,v1.0.0
DB,Bench_missing,-0.14978252071888506,-0.2800348522507638,-0.024372192053006215,949,min-max,v1.0.0,v1.0.0
DB,Broad Jump_missing,0.06091461796965026,-0.17326541622137392,0.3410980265550394,949,min-max,v1.0.0,v1.0.0
DB,3Cone_missing,-0.10496557543631164,-0.29620487133534484,0.08831084685098216,949,min-max,v1.0.0,v1.0.0
DB,Shuttle_missing,-0.04877878856061753,-0.24137362520243652,0.13888577066401755,949,min-max,v1.0.0,v1.0.0
DB,Ht_missing,-0.1491510635617113,-0.6143509844705081,0.22865667231260764,949,min-max,v1.0.0,v1.0.0
DB,Wt_missing,-0.14915106356170468,-0.614350984470504,0.22865667231260864,949,min-max,v1.0.0,v1.0.0
EDGE,intercept,3.6481418804543333,3.5672461960349993,3.7301003790703686,711,min-max,v1.0.0,v1.0.0
EDGE,40yd_z,0.12081669244345428,0.010141133364084533,0.20829729130552355,711,min-max,v1.0.0,v1.0.0
EDGE,Vertical_z,-0.003092822807445439,-0.08158585841323511,0.06389252837840365,711,min-max,v1.0.0,v1.0.0
EDGE,Bench_z,-0.047108951079938816,-0.11938230624460355,0.020333074011284175,711,min-max,v1.0.0,v1.0.0
EDGE,Broad Jump_z,0.021565374309306468,-0.04446926265780996,0.09834690393128805,711,min-max,v1.0.0,v1.0.0
EDGE,3Cone_z,0.08167852548315013,-0.009240754124887238,0.15887429366993003,711,min-max,v1.0.0,v1.0.0
EDGE,Shuttle_z,0.031918163437383074,-0.030154601377080474,0.10445634387371601,711,min-max,v1.0.0,v1.0.0
EDGE,Ht_z,-0.00872530822873746,-0.09245940874502917,0.06775658191539327,711,min-max,v1.0.0,v1.0.0
EDGE,Wt_z,0.21742687211488354,0.11598742252553844,0.3081169907374567,711,min-max,v1.0.0,v1.0.0
EDGE,40yd_missing,-0.38138336986831467,-0.6399789964200094,-0.16653400260599596,711,min-max,v1.0.0,v1.0.0
EDGE,Vertical_missing,0.22673445688858607,-0.16308214489638295,0.5700200016706033,711,min-max,v1.0.0,v1.0.0
EDGE,Bench_missing,-0.029048560901291154,-0.1712577371054339,0.11895025008675589,711,min-max,v1.0.0,v1.0.0
EDGE,Broad Jump_missing,0.13440284693965854,-0.1918286568475111,0.5204901128289972,711,min-max,v1.0.0,v1.0.0
EDGE,3Cone_missing,-0.280231606595148,-0.5375443402704054,0.02928222169733373,711,min-max,v1.0.0,v1.0.0
EDGE,Shuttle_missing,-0.15346626111200123,-0.4817781500074892,0.10630052600170593,711,min-max,v1.0.0,v1.0.0
EDGE,Ht_missing,0.0,0.0,0.0,711,min-max,v1.0.0,v1.0.0
EDGE,Wt_missing,0.0,0.0,0.0,711,min-max,v1.0.0,v1.0.0
IDL,intercept,3.572895723749242,3.485036307944439,3.652914964284351,459,min-max,v1.0.0,v1.0.0
IDL,40yd_z,0.024033008893240268,-0.06819649841056942,0.11943036675976357,459,min-max,v1.0.0,v1.0.0
IDL,Vertical_z,0.058222807816825685,-0.06947896974083524,0.17096356505108212,459,min-max,v1.0.0,v1.0.0
IDL,Bench_z,0.09582829570246228,0.018253944968571068,0.17372013436639216,459,min-max,v1.0.0,v1.0.0
IDL,Broad Jump_z,-0.08566077639320444,-0.19616711292524974,0.0419417373521939,459,min-max,v1.0.0,v1.0.0
IDL,3Cone_z,0.04164517525005198,-0.043664198566584926,0.130137854567955,459,min-max,v1.0.0,v1.0.0
IDL,Shuttle_z,0.016301478021775537,-0.10043978695074725,0.12004397344648855,459,min-max,v1.0.0,v1.0.0
IDL,Ht_z,0.03211815234020329,-0.051526108933127084,0.10401733767113122,459,min-max,v1.0.0,v1.0.0
IDL,Wt_z,0.019920639236829685,-0.06492210193845585,0.13010884570018005,459,min-max,v1.0.0,v1.0.0
IDL,40yd_missing,-0.4337862040038852,-0.6837180675790865,-0.18690703621901303,459,min-max,v1.0.0,v1.0.0
IDL,Vertical_missing,0.18938393440285378,-0.08602777519506512,0.4484834839024647,459,min-max,v1.0.0,v1.0.0
IDL,Bench_missing,-0.18485954477363495,-0.3479543011004322,-0.005450864889112705,459,min-max,v1.0.0,v1.0.0
IDL,Broad Jump_missing,0.08630202429322495,-0.13527610384910652,0.37784195353692923,459,min-max,v1.0.0,v1.0.0
IDL,3Cone_missing,-0.18607543053090247,-0.5458075653325591,0.12271296926964385,459,min-max,v1.0.0,v1.0.0
IDL,Shuttle_missing,-0.05494305869439858,-0.35232323910031516,0.29148477210882834,459,min-max,v1.0.0,v1.0.0
IDL,Ht_missing,-0.1389845195569537,-0.5544933234138678,0.20043973907828605,459,min-max,v1.0.0,v1.0.0
IDL,Wt_missing,-0.13898451955695318,-0.5544933234138697,0.20043973907828586,459,min-max,v1.0.0,v1.0.0
LB,intercept,3.557063954680633,3.447405184607423,3.6593364516557427,293,min-max,v1.0.0,v1.0.0
LB,40yd_z,0.1564426383004383,0.04687485177354899,0.2516681745855536,293,min-max,v1.0.0,v1.0.0
LB,Vertical_z,0.023425581261628647,-0.06692305712894259,0.11637784647107632,293,min-max,v1.0.0,v1.0.0
LB,Bench_z,0.0018126196020473995,-0.09634902046583821,0.08003659926342303,293,min-max,v1.0.0,v1.0.0
LB,Broad Jump_z,-0.11781302941915224,-0.20614305188026735,-0.01201423667695144,293,min-max,v1.0.0,v1.0.0
LB,3Cone_z,0.01173001477471319,-0.07483443078021165,0.1021120966326016,293,min-max,v1.0.0,v1.0.0
LB,Shuttle_z,0.04450486645528766,-0.048353192136739304,0.11943430954818463,293,min-max,v1.0.0,v1.0.0
LB,Ht_z,-0.016382020246220114,-0.10859756295575805,0.05912170958148815,293,min-max,v1.0.0,v1.0.0
LB,Wt_z,0.07704317807990489,-0.04061106336783584,0.18965442117767295,293,min-max,v1.0.0,v1.0.0
LB,40yd_missing,-0.21226589374142238,-0.5257046475129198,0.0523469643046338,293,min-max,v1.0.0,v1.0.0
LB,Vertical_missing,0.14384989360820513,-0.18824245794051672,0.48680385480880956,293,min-max,v1.0.0,v1.0.0
LB,Bench_missing,-0.13168872981708404,-0.33887127401900674,0.040336588269932035,293,min-max,v1.0.0,v1.0.0
LB,Broad Jump_missing,-0.11718493379152166,-0.4677194704202232,0.21043664721623168,293,min-max,v1.0.0,v1.0.0
LB,3Cone_missing,0.012480680600077385,-0.24254690687305266,0.337979966835218,293,min-max,v1.0.0,v1.0.0
LB,Shuttle_missing,-0.11755783143847445,-0.3656094573565767,0.13722944784533775,293,min-max,v1.0.0,v1.0.0
LB,Ht_missing,-0.007778854863650406,-0.0660211797867888,0.054784992374437555,293,min-max,v1.0.0,v1.0.0
LB,Wt_missing,-0.00777885486365102,-0.0660211797867874,0.054784992374437874,293,min-max,v1.0.0,v1.0.0
OL,intercept,3.4195409128447083,3.3486767452981305,3.4796258821278903,472,min-max,v1.0.0,v1.0.0
OL,40yd_z,0.06149996413601949,-0.008590448835371862,0.13613430926259798,472,min-max,v1.0.0,v1.0.0
OL,Vertical_z,0.0830954028881769,0.01155692003222287,0.14459334770094973,472,min-max,v1.0.0,v1.0.0
OL,Bench_z,0.05167550901168634,-0.002658653474387232,0.11837862106096485,472,min-max,v1.0.0,v1.0.0
OL,Broad Jump_z,-0.05304006320939636,-0.12439591466978477,0.015751120415006686,472,min-max,v1.0.0,v1.0.0
OL,3Cone_z,0.01110566128714846,-0.06502606343034577,0.08719341597718076,472,min-max,v1.0.0,v1.0.0
OL,Shuttle_z,0.08300440052850855,0.01775762315593872,0.16350569373263552,472,min-max,v1.0.0,v1.0.0
OL,Ht_z,0.01293723800149496,-0.046429306354740026,0.07975835525610568,472,min-max,v1.0.0,v1.0.0
OL,Wt_z,0.014698756306695204,-0.04102272587753916,0.08672073604087968,472,min-max,v1.0.0,v1.0.0
OL,40yd_missing,-0.25437348064801846,-0.5295115341149612,0.02010786892452501,472,min-max,v1.0.0,v1.0.0
