position_group,n,mae,mean_residual,calibration_slope,calibration_intercept
DB,949,0.5933871905200384,-8.142415438768272e-16,1.0043785289288252,-0.01522001819659487
EDGE,711,0.655068289871721,-2.1086429992318023e-15,1.0087595961326956,-0.030927416358294692
IDL,459,0.6518623678889303,-7.802037882856003e-15,1.0138736250774385,-0.04782886895302302
LB,293,0.52433921525985,-1.6551038128200286e-15,1.0136928499688411,-0.047022171309969704
OL,472,0.4799170803684436,-7.828013190577375e-16,1.014353366148191,-0.04753556552528196
OTHER,79,0.43428235390733444,-4.18230850795502e-15,1.0909813417944185,-0.25692260523514177
QB,228,0.9167495142552701,8.356862959919708e-15,1.036615820393753,-0.10513590529718037
RB,462,0.6313285818792951,3.621922386829082e-15,1.0386697721068716,-0.12915429890491018
ST,80,0.7112898361166284,4.0312198024139437e-14,1.055762312696621,-0.20187879021118552
TE,284,0.6143002616643006,2.814649921584904e-15,1.0094632905253655,-0.03321405824538581
WR,642,0.6729232961936631,-7.083292069882618e-16,1.0111468479280845,-0.03698730208794569
